,net_return
2010-02-11,0.01156148806161095
2010-02-12,0.00149486812071065
2010-02-16,0.016009528539847037
2010-02-17,0.0014278533259114248
2010-02-18,0.005100863496314113
2010-02-19,-9.160954907523741e-05
2010-02-22,-0.00028747281206014985
2010-02-23,-0.007634638189649263
2010-02-24,0.0061582461822519375
2010-02-25,0.000957539118136775
2010-02-26,0.003960221201273987
2010-03-01,0.009231670843669312
2010-03-02,0.0050474305815477
2010-03-03,0.0014128965666358752
2010-03-04,0.0010530884449526
2010-03-05,0.010911354837827637
2010-03-08,0.0003346260307528998
2010-03-09,0.002072814118953387
2010-03-10,0.0029800734626950127
2010-03-11,0.0026946631250192123
2010-03-12,0.0008367512681620719
2010-03-15,-0.001621348721580775
2010-03-16,0.011342579058672624
2010-03-17,0.0050718737703431245
2010-03-18,-0.001466841614994325
2010-03-19,-0.008282019685813788
2010-03-22,0.005289819423637312
2010-03-23,0.0038235608253250246
2010-03-24,-0.00942210979621515
2010-03-25,-0.0018928369952473001
2010-03-26,0.0027835883482964004
2010-03-29,0.004277962910223663
2010-03-30,0.0007491422197809374
2010-03-31,-0.0011311310791015372
2010-04-01,0.007328916656509113
2010-04-05,0.005798869627625925
2010-04-06,0.00524974269562555
2010-04-07,-0.0014411145595259003
2010-04-08,0.001167008329873175
2010-04-09,0.006309732486544649
2010-04-12,-0.0006562425222651001
2010-04-13,0.0042781785847976995
2010-04-14,0.006953680965408738
2010-04-15,-0.002080055724527425
2010-04-16,-0.013289456769371398
2010-04-19,-0.0008902358094229127
2010-04-20,0.008068927097673838
2010-04-21,0.005500137722793762
2010-04-22,0.0036473349193309502
2010-04-23,0.006004175042592413
2010-04-26,-0.00051693942927355
2010-04-27,-0.013283189591812301
2010-04-28,0.0014580593981506373
2010-04-29,0.014681811225797812
2010-04-30,-0.010676259457296826
2010-05-03,0.011174146431858925
2010-05-04,-0.018074915702877614
2010-05-05,-0.0067788879292402125
2010-05-06,-0.018347166378152365
2010-05-07,-0.0115459263585765
2010-05-10,0.03264934373655032
2010-05-11,0.0018533613474776376
2010-05-12,0.0111547307792492
2010-05-13,-0.0076726024785362485
2010-05-14,-0.011857583901640949
2010-05-17,-0.0011956690536825375
2010-05-18,-0.0092773182342185
2010-05-19,-0.008116073773192638
2010-05-20,-0.02751124697554755
2010-05-21,0.012374935421143138
2010-05-24,-0.006294914899671388
2010-05-25,0.0004262330398003626
2010-05-26,-0.0012780538843037124
2010-05-27,0.024741010781091203
2010-05-28,-0.007011383447260374
2010-06-01,-0.01022394453222385
2010-06-02,0.015490561961873388
2010-06-03,-0.0008298432672028498
2010-06-04,-0.02170081627085355
2010-06-07,-0.005902298862326887
2010-06-08,0.004975277285873625
2010-06-09,-0.0021167245066213754
2010-06-10,0.016514814055550473
2010-06-11,0.00873269152694781
2010-06-14,0.00083090767378485
2010-06-15,0.016466668138615075
2010-06-16,-0.0011006012101458626
2010-06-17,0.00384806433385685
2010-06-18,0.0012227697317601584
2010-06-21,-0.004112764728810324
2010-06-22,-0.008660462142484074
2010-06-23,0.00025401063736892477
2010-06-24,-0.011797254182393977
2010-06-25,0.009466242665425012
2010-06-28,-0.0037570168527192747
2010-06-29,-0.0215134592557952
2010-06-30,-0.004968877853070662
2010-07-01,-0.005867081012562975
2010-07-02,-0.004123238906648299
2010-07-06,-0.0015155115424076875
2010-07-07,0.020669062347616514
2010-07-08,0.0041836923548609255
2010-07-09,0.007477539972861637
2010-07-12,-0.002568089372508712
2010-07-13,0.011935304082855487
2010-07-14,0.0009250289697399582
2010-07-15,-0.0006351420786202997
2010-07-16,-0.020384327175785266
2010-07-19,0.0036979770461149503
2010-07-20,0.011491365980252462
2010-07-21,-0.007692896593260676
2010-07-22,0.018048732320997088
2010-07-23,0.005347787548608763
2010-07-26,0.008360788251034737
2010-07-27,-0.004579937437331072
2010-07-28,-0.0036406927850495996
2010-07-29,-0.002140964443980013
2010-07-30,0.005486378182605851
2010-08-02,0.012607471861909124
2010-08-03,-0.002436280587493575
2010-08-04,0.0038961142734203254
2010-08-05,-0.002960185579188513
2010-08-06,0.0007853715704568125
2010-08-09,0.0044408237364554504
2010-08-10,-0.00664293003879445
2010-08-11,-0.017904305779286558
2010-08-12,-0.0029816895725767994
2010-08-13,-2.1908872490499507e-06
2010-08-16,0.007724871329845087
2010-08-17,0.008477902483058524
2010-08-18,0.002070683240283575
2010-08-19,-0.00952833245588435
2010-08-20,-0.001240068328628625
2010-08-23,-0.005114733128755938
2010-08-24,-0.004899934496882576
2010-08-25,0.005575976499284113
2010-08-26,-0.003959476366069375
2010-08-27,0.006754345734851012
2010-08-30,-0.005880356347843276
2010-08-31,0.0040217559330433875
2010-09-01,0.016496503856972926
2010-09-02,0.004838950251315762
2010-09-03,0.00621942055147165
2010-09-07,-0.004104863907265975
2010-09-08,0.0034790054762086258
2010-09-09,-0.003923838940127487
2010-09-10,0.00228655434818855
2010-09-13,0.011773756730398563
2010-09-14,0.0036088198816349375
2010-09-15,0.0010766250155078622
2010-09-16,-0.0025757037265356874
2010-09-17,0.0019797577937592245
2010-09-20,0.013670131025263488
2010-09-21,0.0005856221629228998
2010-09-22,-0.0028340148758387498
2010-09-23,-0.0059733875958623
2010-09-24,0.013258974251778388
2010-09-27,-0.0005453415927820375
2010-09-28,0.005205621425768751
2010-09-29,-0.0011743398418611998
2010-09-30,7.526294634679995e-05
2010-10-01,0.0032489261162038127
2010-10-04,-0.003166013276839738
2010-10-05,0.01515208314938166
2010-10-06,0.0009014144561587514
2010-10-07,-0.0032784791117003373
2010-10-08,0.005540896700305838
2010-10-11,0.0009028729762661875
2010-10-12,0.00018595082562220008
2010-10-13,0.009177961061730149
2010-10-14,-0.003619923334898075
2010-10-15,-0.0011946724399779498
2010-10-18,0.0052763034308709374
2010-10-19,-0.014036631673964182
2010-10-20,0.009719577891494677
2010-10-21,-0.0038233799821577002
2010-10-22,0.003336757273416162
2010-10-25,0.0051689454594857995
2010-10-26,-0.00332415503867945
2010-10-27,-0.006054441369552263
2010-10-28,0.002024971815100837
2010-10-29,0.0032908871687522497
2010-11-01,0.000485317482407525
2010-11-02,0.01004646155779904
2010-11-03,-0.0015356075443439003
2010-11-04,0.019009111017726236
2010-11-05,3.2199384216962236e-05
2010-11-08,0.0005351417801781499
2010-11-09,-0.015737053794871062
2010-11-10,0.006388828498537538
2010-11-11,-0.004218294917902112
2010-11-12,-0.015082481244219199
2010-11-15,-0.00709812594353845
2010-11-16,-0.011834371980695188
2010-11-17,0.0010999830070577874
2010-11-18,0.012515845306020837
2010-11-19,0.0028954114746892376
2010-11-22,0.003917806257371362
2010-11-23,-0.008476544899690738
2010-11-24,0.008860591386826563
2010-11-26,-0.005672018417932787
2010-11-29,0.0029379270252887627
2010-11-30,-0.0025790288360593378
2010-12-01,0.009131737396119173
2010-12-02,0.007698191219449737
2010-12-03,0.00327154240028655
2010-12-06,0.004194445406606438
2010-12-07,-0.005691764506377975
2010-12-08,-0.005420144127973725
2010-12-09,0.0009330097117594748
2010-12-10,0.0031802159038767505
2010-12-13,0.0015310912037378875
2010-12-14,-0.0032471631300850625
2010-12-15,-0.008537148920347713
2010-12-16,0.004040021076764813
2010-12-17,0.005608718747813
2010-12-20,0.00243673930321145
2010-12-21,0.007373082338809637
2010-12-22,0.00046410343527815
2010-12-23,-0.001917982866995212
2010-12-27,0.0033264991310431877
